distance_from_route_m,deviation_duration_sec,heading_difference_deg,off_route_distance_m,returned_to_route,stop_duration_sec,current_speed_kmh,speed_limit_kmh,overspeed_duration_sec,location_context
15.76,11.19,7.57,17.18,0,0.0,21.15,20,3.37,bus_stop
6.67,1.99,14.7,13.49,0,0.0,15.64,40,0,unknown
2.99,17.98,6.42,11.29,0,0.0,17.33,30,0,unknown
2.42,8.23,15.78,21.12,0,0.0,15.92,20,0,depot
15.51,9.98,15.61,12.76,0,299.64,0.11,35,0,school
2.09,7.56,16.67,14.38,0,0.0,40.0,40,2.07,unknown
7.77,12.91,7.73,4.27,0,251.01,0.63,20,0,bus_stop
4.44,16.73,17.77,16.37,0,0.0,28.01,50,0,unknown
4.56,15.92,7.8,8.83,0,0.0,30.09,50,0,school
18.32,6.48,3.6,20.78,0,62.3,0.96,45,0,traffic_light
16.65,14.97,5.7,27.5,0,0.0,27.08,40,0,traffic_light
17.85,3.29,7.66,21.84,0,0.0,17.61,45,0,bus_stop
9.64,7.4,8.09,0.42,0,0.0,10.0,35,0,unknown
1.55,2.17,0.8,16.39,0,0.0,16.76,20,0,bus_stop
6.12,13.85,17.1,14.76,0,0.0,12.02,20,0,traffic_light
8.26,5.23,7.52,4.8,0,155.92,0.72,45,0,depot
11.55,9.36,3.54,0.42,0,0.0,23.89,45,0,bus_stop
90.42,94.95,16.53,713.01,1,0.0,27.03,35,0,bus_stop
5.93,14.49,2.77,15.59,0,0.0,41.16,40,1.73,depot
0.24,11.65,3.12,19.45,0,0.0,15.76,20,0,traffic_light
14.72,2.32,9.54,23.56,0,15.37,0.85,50,0,unknown
3.88,7.45,1.42,9.15,0,0.0,17.14,30,0,school
5.13,8.0,9.49,15.74,0,20.93,0.21,40,0,traffic_light
7.26,7.34,14.1,25.48,0,61.21,1.05,20,0,traffic_light
8.13,14.25,3.9,18.62,0,0.0,16.14,30,0,depot
2.18,10.0,1.83,7.91,0,0.0,19.08,45,0,traffic_light
6.96,9.12,4.98,25.12,0,46.35,0.22,35,0,unknown
16.47,4.63,17.38,1.72,0,6.87,1.04,20,0,traffic_light
3.02,14.04,10.93,19.64,0,33.31,1.12,45,0,traffic_light
3.89,12.17,2.15,11.22,0,0.0,22.45,30,0,school
3.08,13.24,7.86,0.71,0,0.0,36.36,35,2.78,school
3.77,10.54,0.36,28.7,0,0.0,11.75,20,0,traffic_light
0.94,6.37,11.66,19.67,0,143.35,0.14,30,0,bus_stop
10.49,11.93,13.95,5.5,0,0.0,20.58,40,0,bus_stop
2.06,2.66,0.42,8.3,0,0.0,23.27,45,0,bus_stop
5.64,11.7,17.3,15.42,0,34.16,1.01,50,0,traffic_light
12.86,11.3,4.37,1.75,0,0.0,8.74,35,0,traffic_light
3.56,17.57,17.12,6.98,0,0.0,48.68,50,0,traffic_light
4.28,14.61,16.15,20.2,0,0.0,21.24,35,0,unknown
11.76,15.03,12.64,23.86,0,54.12,1.14,40,0,traffic_light
0.74,16.26,9.6,25.49,0,198.89,0.86,50,0,school
61.16,67.25,24.48,21.59,1,273.53,1.16,40,0,depot
9.36,11.92,3.42,26.97,0,0.0,16.62,35,0,bus_stop
0.07,10.91,8.64,12.68,0,17.28,0.9,40,0,traffic_light
5.08,3.23,9.7,4.92,0,0.0,14.01,45,0,unknown
12.91,1.14,5.45,15.96,0,0.0,42.27,50,0,unknown
9.08,6.86,11.11,19.43,0,312.87,1.05,35,0,school
3.11,14.68,16.52,10.35,0,0.0,17.13,45,0,traffic_light
7.6,3.03,7.79,16.85,0,0.0,15.22,35,0,bus_stop
1.36,14.51,3.96,20.67,0,0.0,21.51,40,0,traffic_light
1.17,13.37,11.82,3.83,0,0.0,22.65,45,0,traffic_light
5.51,4.83,5.97,4.3,0,0.0,16.49,40,0,traffic_light
8.82,12.13,6.06,20.38,0,25.89,0.03,50,0,unknown
5.09,7.64,11.67,1.8,0,0.0,42.16,50,0,unknown
7.24,7.46,14.01,14.28,0,19.6,0.4,50,0,traffic_light
90.94,38.05,61.79,8.38,0,40.03,0.79,30,0,unknown
5.42,0.21,1.72,9.9,0,0.0,35.39,45,0,school
